subdet,layer,waferu,waferv,tc_eta,tc_phi
1,1,-10,-7,1.5224338,-0.7528308
1,1,-10,-6,1.5399703,-0.6359457
1,1,-10,-5,1.5436506,-0.5207397
1,1,-10,-4,1.5414634,-0.40616027
1,1,-10,-3,1.5299214,-0.29486167
1,1,-9,-8,1.5626228,-0.941371
1,1,-9,-7,1.5948193,-0.83537185
1,1,-9,-6,1.6212621,-0.71807635
1,1,-9,-5,1.636465,-0.5834333
1,1,-9,-4,1.6367677,-0.45721516
1,1,-9,-3,1.6225305,-0.33813706
1,1,-9,-2,1.5953013,-0.21576065
1,1,-9,-1,1.5564817,-0.10173069
1,1,-8,-9,1.5502721,-1.1549551
1,1,-8,-8,1.6105865,-1.0507041
1,1,-8,-7,1.6685016,-0.9240843
1,1,-8,-6,1.7065895,-0.80035806
1,1,-8,-5,1.7399478,-0.67205495
1,1,-8,-4,1.7466786,-0.52725387
1,1,-8,-3,1.7354555,-0.38098636
1,1,-8,-2,1.7127814,-0.25091752
1,1,-8,-1,1.6704278,-0.11158044
1,1,-8,0,1.6183391,0.000535618
1,1,-8,1,1.5497595,0.09942242
1,1,-7,-10,1.5276352,-1.3453077
1,1,-7,-9,1.5985857,-1.2574383
1,1,-7,-8,1.6624678,-1.1639653
1,1,-7,-7,1.7366471,-1.0436132
1,1,-7,-6,1.798327,-0.9168869
1,1,-7,-5,1.8438008,-0.76202184
1,1,-7,-4,1.8740876,-0.60847354
1,1,-7,-3,1.8695884,-0.43724683
1,1,-7,-2,1.852976,-0.28044793
1,1,-7,-1,1.8012869,-0.12867457
1,1,-7,0,1.7371112,-0.004121187
1,1,-7,1,1.6669145,0.1124905
1,1,-7,2,1.5961363,0.2123625
1,1,-7,3,1.5316848,0.29588205
1,1,-6,-10,1.5430757,-1.4551485
1,1,-6,-9,1.616347,-1.3870445
1,1,-6,-8,1.7133683,-1.2899159
1,1,-6,-7,1.8016309,-1.1861897
1,1,-6,-6,1.8827795,-1.0467666
1,1,-6,-5,1.9575139,-0.8934208
1,1,-6,-4,2.0123034,-0.71444386
1,1,-6,-3,2.026599,-0.5222533
1,1,-6,-2,2.008746,-0.33762074
1,1,-6,-1,1.9594116,-0.1537605
1,1,-6,0,1.8882649,-0.004069187
1,1,-6,1,1.8017039,0.1315043
1,1,-6,2,1.7111242,0.24010019
1,1,-6,3,1.6293721,0.33663166
1,1,-6,4,1.5340372,0.40238923
1,1,-5,-10,1.5453941,-1.5711111
